# # # # # # # # # # # # # # # # # # # # # Date		CASH		BOND L		BOND NL		EQT		GOVI		ETF		OTHERS
20170929.00	841604.12	2181747.75	792216.91	1610733.56	     0.00	     0.00	 31093.14
20171002.00	869237.57	2182382.50	792216.91	1619249.37	     0.00	     0.00	 31817.71
20171003.00	845992.29	2182822.00	792216.91	1629725.23	     0.00	     0.00	 32059.24
20171004.00	761398.79	2281323.50	792716.91	1633096.69	     0.00	     0.00	 32300.75
20171005.00	858306.70	2179346.00	792716.91	1674459.82	     0.00	     0.00	 30908.71
20171006.00	817913.20	2279257.50	793048.17	1671159.27	     0.00	     0.00	 31150.23
20171009.00	730575.55	2280490.00	893048.17	1685897.77	     0.00	     0.00	 31967.25
20171010.00	744260.87	2276966.75	894698.17	1698942.84	     0.00	     0.00	 29644.04
20171011.00	757297.37	2280003.25	894698.17	1713161.16	     0.00	     0.00	 29911.25
20171012.00	767218.87	2281551.25	890964.17	1721309.06	     0.00	     0.00	 30182.56
20171013.00	728794.03	2282435.25	885219.56	1766508.56	     0.00	     0.00	 30443.25
20171016.00	748423.59	2282778.50	873002.81	1777614.24	     0.00	     0.00	 31127.95
20171017.00	878737.72	2283186.00	872982.81	1705218.71	     0.00	     0.00	 31393.32
20171018.00	844275.90	2381509.00	872982.81	1683651.66	     0.00	     0.00	 31675.49
20171019.00	728872.85	2481737.00	872982.81	1703558.28	     0.00	     0.00	 31957.64
20171020.00	771493.62	2481043.00	861024.81	1692492.57	     0.00	     0.00	 32239.81
20171023.00	801243.62	2482031.00	868098.81	1684087.53	     0.00	     0.00	 33086.26
20171024.00	659914.59	2631868.25	873110.81	1681263.22	     0.00	     0.00	 33368.39
20171025.00	669832.59	2631901.00	868110.81	1671055.47	     0.00	     0.00	 33650.58
20171026.00	718749.09	2634793.50	865110.81	1684576.37	     0.00	     0.00	 33935.17
20171027.00	537459.64	2637956.25	865594.81	1683104.35	201804.00	     0.00	 34439.15
20171030.00	651369.14	2639893.75	876505.81	1693470.27	202034.00	     0.00	 35303.11
20171031.00	649153.86	2641794.75	877432.81	1655054.67	202062.00	101346.05	 32969.20
